Key,English,French,Spanish
Retry,Retry,Réessayer,Reintentar
Save,Save,Sauvegarder,Guardar
General,General,Général,General
Graphics,Graphics,Graphiques,Gráficos
Controls,Controls,Contrôles,Controla
Audio,Audio,Audio,Audio
Notifications,Notifications,Notifications,Notificaciones
Connect,Connect,Se connecter,Conectar
Edit,Edit,Modifier,Editar
New,New,Nouveau,Nuevo
Default,Default,Défaut,Defecto
Cancel,Cancel,Annuler,Cancelar
Delete,Delete,Supprimer,Borrar
Sessions,Sessions,Sessions,Sesiones
Name,Name,Nom,Nombre
Resume,Resume,Reprendre,Retomar
Stop,Stop,Arrêter,Parada
Leave,Leave,Quitter,Deja
Reconnect,Reconnect,Reconnecter,Reconectar
Accept,Accept,Accepter,Acepte
Deny,Deny,Refuser,Denegar
Connection,Connection,Connexion,Conexión
Stay,Stay,Rester,Quedarse
Join,Join,Rejoindre,Entrar
